"Coord";"Contr";"Cos2";"Coord.1";"Contr.1";"Cos2.1";"Coord.2";"Contr.2";"Cos2.2";"Coord.3";"Contr.3";"Cos2.3";"Coord.4";"Contr.4";"Cos2.4"
"P13_POP";0.991420485230756;4.30566070320228;0.982914578535187;-0.0156300944173339;0.00891812096800852;0.000244299851494772;-0.0926666877711242;0.58368281733708;0.00858711502247102;-0.0117987460872809;0.0107981641677553;0.000139210409232126;-0.0426208927935317;0.297602091536414;0.00181654050251772
"SUPERF_TOT";-0.242602251881423;0.257818265497876;0.0588558526179373;0.85002835892578;26.3764890207407;0.722548210978055;-0.229719130893668;3.58693872214236;0.0527708790985424;0.108898742854681;0.919864689705661;0.0118589361953299;-0.0240676174901391;0.0948980076532919;0.000579250211651649
"NAIS0813";0.968311036326817;4.10727508103222;0.937626263072315;-0.165596127987872;1.00103787937406;0.0274220776045757;-0.107838759131974;0.790459079375765;0.0116291979711239;-0.0397045408863182;0.122280884875212;0.00157645056699331;-0.0464638394071566;0.353688615335291;0.00215888837245404
"DECE0813";0.939260654876722;3.86452648046107;0.882210577799448;0.217939486120096;1.73389183327481;0.0474976196102916;-0.108206654623755;0.79586163374103;0.0117086801048645;-0.133409005306895;1.38053845336425;0.0177979626969752;-0.0779605540643832;0.995728017825668;0.00607784799002561
"P13_MEN";0.995213106561632;4.33866582082111;0.990449127472054;0.0330188347466209;0.0397991357529363;0.00109024344802466;-0.0709514954915562;0.342178514028766;0.00503411471248832;-0.00068138072480578;3.60128841162234e-05;4.6427969213685e-07;-0.0338498114039448;0.187716911512818;0.00114580973208263
"NAISD15";0.966791825024427;4.09439714496658;0.934686432934062;-0.182501305784613;1.21585590480914;0.0333067266130887;-0.0816014824886315;0.452611647659636;0.00665880194434243;-0.0416870403454424;0.134797035443933;0.00173780933276254;-0.0377580069287249;0.233565674096512;0.00142566708722964
"DECESD15";0.943256495073505;3.89747766865952;0.889732815498353;0.233385623498513;1.98837528422217;0.0544688492557896;-0.0903695156547351;0.555102952968877;0.00816664935967141;-0.11949829310355;1.10764762237529;0.0142798420546619;-0.0620816095108832;0.631417812220245;0.00385412623946179
"P13_RP";0.995213106561632;4.33866582082111;0.990449127472054;0.0330188347466209;0.0397991357529364;0.00109024344802466;-0.0709514954915562;0.342178514028766;0.00503411471248832;-0.000681380724805701;3.60128841162151e-05;4.64279692136743e-07;-0.0338498114039447;0.187716911512817;0.00114580973208262
"P13_RSECOCC";0.229566773185798;0.230856488993747;0.0527009033509397;0.448545717371525;7.3445228261653;0.201193260572336;0.704773395504292;33.762036217985;0.49670553901065;-0.0243426342907042;0.045963528912532;0.00059256384421097;0.326023710400981;17.4136280959979;0.106291459743623
"P13_LOGVAC";0.928721070398234;3.77828421839883;0.862522826601641;0.231416000328572;1.95495570810757;0.0535533652080734;-0.017473571822027;0.0207535792227534;0.000305325712219534;-0.073018778215288;0.413568392133265;0.00533174197205342;-0.0367425591987155;0.221171772617158;0.00135001565647111
"P13_RP_PROP";0.968296384036558;4.10715078103134;0.937597887338274;0.148766581440092;0.807906165819985;0.0221314957533714;-0.094870538945441;0.611775898967064;0.00900041915979843;0.0524908987336574;0.213720525385135;0.00275529444986707;-0.0450406903329221;0.332354045947041;0.00202866378566618
"NBMENFISC13";0.995479371913813;4.34098771733681;0.990979179905919;0.0340244427881196;0.0422602633541671;0.00115766270704202;-0.0569148950437846;0.220181845222725;0.00323930527784502;-0.00193532861086276;0.000290527769475654;3.745496832024e-06;-0.0366343291896756;0.219870710956378;0.00134207407517752
"PIMP13";0.818824182518265;2.93700947366881;0.670473041876706;-0.214430100116846;1.67850118694292;0.0459802678361206;0.334019977274453;7.58358419272754;0.111569345218426;0.217984246575491;3.68577171996311;0.0475171317550846;-0.0131854992782693;0.0284828899678279;0.000173857391217239
"MED13";0.511367187383077;1.14548588404967;0.261496400332079;-0.237958208460377;2.06705264224735;0.056624108973672;0.124706429075044;1.05707868417404;0.015551693452649;0.767874513964529;45.7360572269178;0.589631269196263;-0.0454316214576898;0.338148424041077;0.00206403222827482
"TP6013";0.588906433862681;1.51920585295987;0.34681078784486;-0.281218346545798;2.88693799854333;0.0790837584339524;0.152299890926996;1.57662646752293;0.023195256776375;-0.645256810727672;32.2956039258837;0.416356351790447;0.164865934553048;4.45300057327906;0.02718077637605
"P13_EMPLT";0.980675102912322;4.21283380035789;0.961723657472094;-0.0536056426312367;0.104898956860597;0.00287356492190787;-0.0705292516016774;0.338117912754154;0.00497437533149272;0.0882183178296699;0.603664671620134;0.00778247160069665;-0.042607448697621;0.297414373270817;0.00181539468452041
"P13_EMPLT_SAL";0.9752995600045;4.16677532217611;0.951209231744971;-0.0821608098533272;0.24642205717408;0.00675039867575459;-0.0902893678588076;0.554118759374709;0.00815216994834308;0.0908676601368692;0.6404672183992;0.00825693165874958;-0.0533685940293864;0.46661899812677;0.00284820682867345
"P13_POP1564";0.989597633539157;4.28984225742712;0.9793034763063;-0.0403452979724628;0.059420460146753;0.00162774306848681;-0.10223274746294;0.710411025853838;0.0104515346538213;-0.00315988921404488;0.000774500903488644;9.98489984503714e-06;-0.041118224237106;0.276987132810979;0.00169070836441293
"P13_CHOM1564";0.955991739683562;4.00343061772339;0.913920206343205;-0.0427973727543112;0.0668627715470487;0.00183161511467146;-0.133736016496289;1.21569993761971;0.0178853221082958;-0.21855191463392;3.70499346882688;0.0477649393901521;-0.0204140017978536;0.0682727176913567;0.00041673146940277
"P13_ACT1564";0.988567823470359;4.2809185818203;0.977266341600924;-0.0686890001189893;0.172236243578897;0.00471817873734652;-0.0911365987696336;0.564566704103363;0.00830587963529718;0.0392608440746985;0.119563186338256;0.00154141387745779;-0.0324233314367837;0.172228954414879;0.00105127242145952
"ETAZ14";0.114802015864389;0.0577328577002121;0.0131795028465275;0.756884726352186;20.9126774371601;0.572874488985224;-0.368379995536247;9.22405120024227;0.135703821111285;0.0750002011966144;0.436317942474336;0.00562503017953264;0.289829139819623;13.7617919943092;0.0840009302885828
"ETBE14";0.931429049373688;3.80034989808555;0.867560074017173;0.257915573908773;2.42831649814885;0.0665204432646918;0.0541837900232513;0.199557653000499;0.00293588310128379;0.0187130597044364;0.0271623800943121;0.000350178603501802;0.00703232811420391;0.00810194228674813;4.94536387058228e-05
"ETFZ14";0.929149370570002;3.78176989989089;0.863318552830632;0.0459331009851899;0.0770196761210332;0.00210984976611565;0.235146295725407;3.75842520296635;0.0552937803933804;-0.115309191529145;1.03134999324744;0.0132962096511051;0.10513263471365;1.81078125555505;0.0110528708818337
"ETGU14";0.973263694631967;4.14939781042155;0.947242219288667;-0.0175972802786939;0.0113042371128448;0.000309664273206911;0.152482082679915;1.5804008648822;0.0232507855384044;0.0409228284020998;0.129900104625124;0.0016746778844277;0.00974500048706577;0.0155580306900659;9.49650344929122e-05
"ETGZ14";0.97871905546264;4.19604478519252;0.957890989525683;0.0598279246541995;0.130664626705547;0.00357938056842857;0.0935264893765222;0.594564389405518;0.00874720421509672;-0.0901479715441932;0.630362157971125;0.00812665677353267;0.0113022500378209;0.0209276621374456;0.000127740855917422
"ETOQ14";0.963855495636474;4.06956399877662;0.929017416468633;0.141802205155196;0.734033912961395;0.0201078653868764;0.0782450803284642;0.416144069505898;0.00612229259560783;0.02822128171298;0.0617776926617465;0.000796440741523381;-0.0232425661594701;0.0885032145705703;0.000540216881677345
"ETTEF114";0.984905455995388;4.24925812362723;0.970038757249484;0.0862401710671128;0.2714997128576;0.00743736710568487;0.0630335729366549;0.270068217680036;0.00397323131716059;0.0124142237814117;0.0119541129594987;0.000154112952094968;0.0190670872548276;0.0595606737046225;0.00036355381638321
"ETTEFP1014";0.986968017844784;4.2670741173934;0.974105868248463;-0.00153115247414927;8.55829075497272e-05;2.34442789909342e-06;-0.061654729568439;0.258382099457176;0.00380130567815734;0.069015640389829;0.369464963162171;0.00476315861841819;-0.0383054029893431;0.240386992974545;0.00146730389817597
"SUPERF_MOY";-0.148362883981839;0.0964216503361957;0.0220115453434085;0.501390022937174;9.17701690057033;0.25139195510094;0.617597395191745;25.9262998549282;0.381426542547629;-0.089518183236448;0.62158529976095;0.00801350512995428;-0.470132205147789;36.210197894052;0.221024290317123
"DENSITY13";0.422341603805727;0.78136104649532;0.178372430305194;-0.668257737822473;16.3018971334542;0.446568404159609;0.0791963904669595;0.426324611315387;0.00627206826299511;0.00297081046406982;0.000684586145381281;8.82571481342675e-06;0.116533255250967;2.22479833083147;0.013579999579387
"POP0813";0.729904230298578;2.33375783067483;0.532760185407759;0.0571767134320849;0.119340686617753;0.00326917655889476;0.157298477817732;1.68181672980651;0.0247428111237756;0.267321228856715;5.54300299814438;0.0714606393974642;0.334116635777509;18.2888792780739;0.111633926303281
